/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 1,803,850 | K=4 | blocks/unit=-
----------------------------------------------------------------------
Ep  80 | loss 0.2370 | task 0.2370 | train 91.4% | test 81.2%
Ep  81 | loss 0.2383 | task 0.2383 | train 91.4% | test 82.1%
Ep  82 | loss 0.2310 | task 0.2310 | train 91.7% | test 81.5%
Ep  83 | loss 0.2296 | task 0.2296 | train 91.6% | test 81.9%
Ep  84 | loss 0.2245 | task 0.2245 | train 91.9% | test 82.4%
Ep  85 | loss 0.2259 | task 0.2259 | train 91.8% | test 82.0%
Ep  86 | loss 0.2204 | task 0.2204 | train 92.1% | test 81.5%
Ep  87 | loss 0.2125 | task 0.2125 | train 92.3% | test 81.2%
Ep  88 | loss 0.2122 | task 0.2122 | train 92.4% | test 82.2%
Ep  89 | loss 0.2056 | task 0.2056 | train 92.6% | test 81.2%
Ep  90 | loss 0.2063 | task 0.2063 | train 92.5% | test 81.9%
Ep  91 | loss 0.2060 | task 0.2060 | train 92.6% | test 81.8%
Ep  92 | loss 0.1990 | task 0.1990 | train 92.7% | test 81.7%
Ep  93 | loss 0.1956 | task 0.1956 | train 93.0% | test 82.3%
Ep  94 | loss 0.1928 | task 0.1928 | train 93.0% | test 82.4%
Ep  95 | loss 0.1904 | task 0.1904 | train 93.2% | test 82.1%
Ep  96 | loss 0.1889 | task 0.1889 | train 93.0% | test 81.8%
Ep  97 | loss 0.1860 | task 0.1860 | train 93.2% | test 82.1%
Ep  98 | loss 0.1860 | task 0.1860 | train 93.4% | test 81.4%
Ep  99 | loss 0.1767 | task 0.1767 | train 93.6% | test 82.3%
Ep 100 | loss 0.1787 | task 0.1787 | train 93.6% | test 82.1%
Ep 101 | loss 0.1750 | task 0.1750 | train 93.7% | test 82.2%
Ep 102 | loss 0.1754 | task 0.1754 | train 93.7% | test 82.3%
Ep 103 | loss 0.1690 | task 0.1690 | train 93.8% | test 82.0%
Ep 104 | loss 0.1661 | task 0.1661 | train 94.1% | test 81.8%
Ep 105 | loss 0.1689 | task 0.1689 | train 93.9% | test 82.2%
Ep 106 | loss 0.1601 | task 0.1601 | train 94.3% | test 82.0%
Ep 107 | loss 0.1623 | task 0.1623 | train 94.2% | test 81.8%
Ep 108 | loss 0.1586 | task 0.1586 | train 94.2% | test 81.8%
Ep 109 | loss 0.1586 | task 0.1586 | train 94.4% | test 82.4%
Ep 110 | loss 0.1562 | task 0.1562 | train 94.4% | test 81.7%
Ep 111 | loss 0.1485 | task 0.1485 | train 94.6% | test 82.7%
Ep 112 | loss 0.1484 | task 0.1484 | train 94.5% | test 82.6%
Ep 113 | loss 0.1466 | task 0.1466 | train 94.7% | test 81.9%
Ep 114 | loss 0.1446 | task 0.1446 | train 94.9% | test 82.5%
Ep 115 | loss 0.1422 | task 0.1422 | train 94.8% | test 82.6%
Ep 116 | loss 0.1437 | task 0.1437 | train 94.9% | test 82.3%
Ep 117 | loss 0.1353 | task 0.1353 | train 95.0% | test 81.4%
Ep 118 | loss 0.1378 | task 0.1378 | train 95.2% | test 82.3%
Ep 119 | loss 0.1388 | task 0.1388 | train 95.1% | test 82.2%
Ep 120 | loss 0.1332 | task 0.1332 | train 95.1% | test 82.4%
Ep 121 | loss 0.1317 | task 0.1317 | train 95.1% | test 81.8%
Ep 122 | loss 0.1323 | task 0.1323 | train 95.3% | test 82.4%
Ep 123 | loss 0.1281 | task 0.1281 | train 95.4% | test 82.2%
Ep 124 | loss 0.1271 | task 0.1271 | train 95.4% | test 81.8%
Ep 125 | loss 0.1280 | task 0.1280 | train 95.3% | test 83.0%
Ep 126 | loss 0.1245 | task 0.1245 | train 95.6% | test 82.6%
Ep 127 | loss 0.1213 | task 0.1213 | train 95.6% | test 82.5%
Ep 128 | loss 0.1201 | task 0.1201 | train 95.8% | test 82.5%
Ep 129 | loss 0.1173 | task 0.1173 | train 95.8% | test 82.8%
Ep 130 | loss 0.1168 | task 0.1168 | train 95.8% | test 82.4%
Ep 131 | loss 0.1117 | task 0.1117 | train 96.0% | test 82.4%
Ep 132 | loss 0.1163 | task 0.1163 | train 95.8% | test 82.5%
Ep 133 | loss 0.1129 | task 0.1129 | train 95.9% | test 82.2%
Ep 134 | loss 0.1077 | task 0.1077 | train 96.1% | test 83.0%
