/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 3,583,306 | K=8 | blocks/unit=-
----------------------------------------------------------------------
Ep  80 | loss 0.1726 | task 0.1726 | train 93.9% | test 81.0%
Ep  81 | loss 0.1751 | task 0.1751 | train 93.7% | test 81.3%
Ep  82 | loss 0.1617 | task 0.1617 | train 94.1% | test 81.0%
Ep  83 | loss 0.1643 | task 0.1643 | train 94.1% | test 81.6%
Ep  84 | loss 0.1567 | task 0.1567 | train 94.4% | test 80.9%
Ep  85 | loss 0.1600 | task 0.1600 | train 94.2% | test 81.0%
Ep  86 | loss 0.1559 | task 0.1559 | train 94.6% | test 81.5%
Ep  87 | loss 0.1537 | task 0.1537 | train 94.6% | test 81.7%
Ep  88 | loss 0.1489 | task 0.1489 | train 94.6% | test 81.5%
Ep  89 | loss 0.1484 | task 0.1484 | train 94.7% | test 81.7%
Ep  90 | loss 0.1444 | task 0.1444 | train 94.8% | test 81.5%
Ep  91 | loss 0.1392 | task 0.1392 | train 95.0% | test 81.3%
Ep  92 | loss 0.1407 | task 0.1407 | train 95.0% | test 81.4%
Ep  93 | loss 0.1390 | task 0.1390 | train 95.0% | test 80.9%
Ep  94 | loss 0.1310 | task 0.1310 | train 95.3% | test 81.4%
Ep  95 | loss 0.1332 | task 0.1332 | train 95.3% | test 81.2%
Ep  96 | loss 0.1301 | task 0.1301 | train 95.4% | test 81.4%
Ep  97 | loss 0.1241 | task 0.1241 | train 95.7% | test 81.4%
Ep  98 | loss 0.1251 | task 0.1251 | train 95.5% | test 81.7%
Ep  99 | loss 0.1221 | task 0.1221 | train 95.6% | test 81.6%
Ep 100 | loss 0.1197 | task 0.1197 | train 95.7% | test 81.1%
Ep 101 | loss 0.1165 | task 0.1165 | train 95.8% | test 81.5%
Ep 102 | loss 0.1160 | task 0.1160 | train 95.9% | test 81.1%
Ep 103 | loss 0.1133 | task 0.1133 | train 96.0% | test 81.2%
Ep 104 | loss 0.1131 | task 0.1131 | train 96.1% | test 81.2%
Ep 105 | loss 0.1095 | task 0.1095 | train 96.0% | test 81.5%
Ep 106 | loss 0.1087 | task 0.1087 | train 96.1% | test 81.0%
Ep 107 | loss 0.1056 | task 0.1056 | train 96.2% | test 81.5%
Ep 108 | loss 0.1030 | task 0.1030 | train 96.3% | test 81.6%
Ep 109 | loss 0.1017 | task 0.1017 | train 96.3% | test 81.6%
Ep 110 | loss 0.1011 | task 0.1011 | train 96.4% | test 81.0%
Ep 111 | loss 0.1012 | task 0.1012 | train 96.4% | test 81.3%
Ep 112 | loss 0.1007 | task 0.1007 | train 96.5% | test 82.1%
Ep 113 | loss 0.0979 | task 0.0979 | train 96.7% | test 82.0%
Ep 114 | loss 0.0961 | task 0.0961 | train 96.7% | test 81.6%
Ep 115 | loss 0.0920 | task 0.0920 | train 96.8% | test 82.0%
Ep 116 | loss 0.0870 | task 0.0870 | train 97.0% | test 81.6%
Ep 117 | loss 0.0942 | task 0.0942 | train 96.7% | test 82.0%
Ep 118 | loss 0.0925 | task 0.0925 | train 96.7% | test 81.8%
Ep 119 | loss 0.0889 | task 0.0889 | train 96.9% | test 81.2%
Ep 120 | loss 0.0843 | task 0.0843 | train 97.0% | test 82.2%
Ep 121 | loss 0.0862 | task 0.0862 | train 97.0% | test 81.5%
Ep 122 | loss 0.0856 | task 0.0856 | train 97.0% | test 81.0%
Ep 123 | loss 0.0848 | task 0.0848 | train 97.1% | test 81.5%
Ep 124 | loss 0.0820 | task 0.0820 | train 97.1% | test 81.6%
Ep 125 | loss 0.0827 | task 0.0827 | train 97.1% | test 82.1%
Ep 126 | loss 0.0782 | task 0.0782 | train 97.2% | test 81.9%
Ep 127 | loss 0.0764 | task 0.0764 | train 97.3% | test 81.8%
Ep 128 | loss 0.0766 | task 0.0766 | train 97.3% | test 81.2%
Ep 129 | loss 0.0770 | task 0.0770 | train 97.3% | test 81.4%
Ep 130 | loss 0.0745 | task 0.0745 | train 97.4% | test 81.9%
Ep 131 | loss 0.0710 | task 0.0710 | train 97.5% | test 81.7%
Ep 132 | loss 0.0703 | task 0.0703 | train 97.5% | test 81.8%
Ep 133 | loss 0.0711 | task 0.0711 | train 97.5% | test 81.6%
Ep 134 | loss 0.0703 | task 0.0703 | train 97.5% | test 82.0%
Ep 135 | loss 0.0710 | task 0.0710 | train 97.5% | test 81.7%
Ep 136 | loss 0.0652 | task 0.0652 | train 97.8% | test 81.4%
Ep 137 | loss 0.0656 | task 0.0656 | train 97.8% | test 81.9%
Ep 138 | loss 0.0663 | task 0.0663 | train 97.7% | test 81.7%
Ep 139 | loss 0.0644 | task 0.0644 | train 97.7% | test 81.5%
Ep 140 | loss 0.0656 | task 0.0656 | train 97.7% | test 82.0%
Ep 141 | loss 0.0611 | task 0.0611 | train 97.9% | test 81.6%
Ep 142 | loss 0.0637 | task 0.0637 | train 97.8% | test 82.0%
Ep 143 | loss 0.0604 | task 0.0604 | train 97.9% | test 81.9%
Ep 144 | loss 0.0619 | task 0.0619 | train 97.9% | test 81.8%
Ep 145 | loss 0.0616 | task 0.0616 | train 97.8% | test 81.8%
Ep 146 | loss 0.0601 | task 0.0601 | train 97.9% | test 82.1%
Ep 147 | loss 0.0600 | task 0.0600 | train 97.9% | test 82.1%
Ep 148 | loss 0.0586 | task 0.0586 | train 97.9% | test 82.2%
Ep 149 | loss 0.0562 | task 0.0562 | train 98.1% | test 81.5%
Ep 150 | loss 0.0542 | task 0.0542 | train 98.1% | test 82.2%
Ep 151 | loss 0.0547 | task 0.0547 | train 98.1% | test 82.3%
Ep 152 | loss 0.0520 | task 0.0520 | train 98.2% | test 82.3%
Ep 153 | loss 0.0516 | task 0.0516 | train 98.2% | test 82.6%
Ep 154 | loss 0.0513 | task 0.0513 | train 98.2% | test 81.9%
Ep 155 | loss 0.0507 | task 0.0507 | train 98.2% | test 81.4%
Ep 156 | loss 0.0503 | task 0.0503 | train 98.2% | test 82.0%
Ep 157 | loss 0.0522 | task 0.0522 | train 98.2% | test 81.9%
Ep 158 | loss 0.0500 | task 0.0500 | train 98.2% | test 82.3%
Ep 159 | loss 0.0475 | task 0.0475 | train 98.3% | test 82.0%
Ep 160 | loss 0.0473 | task 0.0473 | train 98.3% | test 82.0%
Ep 161 | loss 0.0448 | task 0.0448 | train 98.4% | test 82.2%
Ep 162 | loss 0.0439 | task 0.0439 | train 98.4% | test 81.5%
Ep 163 | loss 0.0447 | task 0.0447 | train 98.5% | test 82.1%
Ep 164 | loss 0.0452 | task 0.0452 | train 98.4% | test 82.5%
Ep 165 | loss 0.0448 | task 0.0448 | train 98.5% | test 81.9%
Ep 166 | loss 0.0470 | task 0.0470 | train 98.3% | test 81.8%
Ep 167 | loss 0.0407 | task 0.0407 | train 98.6% | test 82.4%
Ep 168 | loss 0.0401 | task 0.0401 | train 98.6% | test 82.3%
Ep 169 | loss 0.0413 | task 0.0413 | train 98.5% | test 82.4%
Ep 170 | loss 0.0409 | task 0.0409 | train 98.7% | test 81.9%
Ep 171 | loss 0.0360 | task 0.0360 | train 98.8% | test 81.5%
Ep 172 | loss 0.0401 | task 0.0401 | train 98.6% | test 81.9%
Ep 173 | loss 0.0376 | task 0.0376 | train 98.7% | test 82.6%
Ep 174 | loss 0.0358 | task 0.0358 | train 98.7% | test 82.6%
Ep 175 | loss 0.0337 | task 0.0337 | train 98.8% | test 82.4%
Ep 176 | loss 0.0372 | task 0.0372 | train 98.7% | test 81.9%
Ep 177 | loss 0.0361 | task 0.0361 | train 98.8% | test 81.8%
Ep 178 | loss 0.0359 | task 0.0359 | train 98.8% | test 82.0%
Ep 179 | loss 0.0347 | task 0.0347 | train 98.8% | test 82.3%
Ep 180 | loss 0.0312 | task 0.0312 | train 98.9% | test 81.8%
Ep 181 | loss 0.0309 | task 0.0309 | train 98.9% | test 81.9%
Ep 182 | loss 0.0346 | task 0.0346 | train 98.8% | test 82.5%
Ep 183 | loss 0.0314 | task 0.0314 | train 99.0% | test 82.7%
Ep 184 | loss 0.0319 | task 0.0319 | train 98.9% | test 82.2%
Ep 185 | loss 0.0307 | task 0.0307 | train 99.0% | test 82.4%
Ep 186 | loss 0.0306 | task 0.0306 | train 99.0% | test 82.2%
Ep 187 | loss 0.0280 | task 0.0280 | train 99.0% | test 82.2%
Ep 188 | loss 0.0302 | task 0.0302 | train 99.0% | test 82.2%
Ep 189 | loss 0.0278 | task 0.0278 | train 99.0% | test 82.5%
Ep 190 | loss 0.0259 | task 0.0259 | train 99.1% | test 82.5%
Ep 191 | loss 0.0276 | task 0.0276 | train 99.1% | test 82.5%
Ep 192 | loss 0.0258 | task 0.0258 | train 99.1% | test 82.3%
Ep 193 | loss 0.0252 | task 0.0252 | train 99.1% | test 82.2%
Ep 194 | loss 0.0251 | task 0.0251 | train 99.2% | test 82.7%
Ep 195 | loss 0.0236 | task 0.0236 | train 99.2% | test 83.1%
Ep 196 | loss 0.0271 | task 0.0271 | train 99.1% | test 82.5%
Ep 197 | loss 0.0231 | task 0.0231 | train 99.2% | test 82.6%
Ep 198 | loss 0.0221 | task 0.0221 | train 99.2% | test 82.3%
Ep 199 | loss 0.0239 | task 0.0239 | train 99.2% | test 82.8%
Ep 200 | loss 0.0224 | task 0.0224 | train 99.3% | test 82.5%
Ep 201 | loss 0.0227 | task 0.0227 | train 99.2% | test 82.5%
Ep 202 | loss 0.0208 | task 0.0208 | train 99.3% | test 82.2%
Ep 203 | loss 0.0201 | task 0.0201 | train 99.3% | test 82.6%
Ep 204 | loss 0.0187 | task 0.0187 | train 99.4% | test 82.5%
Ep 205 | loss 0.0193 | task 0.0193 | train 99.3% | test 82.7%
Ep 206 | loss 0.0191 | task 0.0191 | train 99.3% | test 82.3%
Ep 207 | loss 0.0207 | task 0.0207 | train 99.3% | test 82.7%
Ep 208 | loss 0.0158 | task 0.0158 | train 99.5% | test 82.7%
Ep 209 | loss 0.0191 | task 0.0191 | train 99.4% | test 82.1%
Ep 210 | loss 0.0176 | task 0.0176 | train 99.4% | test 82.3%
Ep 211 | loss 0.0178 | task 0.0178 | train 99.4% | test 82.7%
Ep 212 | loss 0.0154 | task 0.0154 | train 99.5% | test 82.8%
Ep 213 | loss 0.0154 | task 0.0154 | train 99.4% | test 82.6%
Ep 214 | loss 0.0152 | task 0.0152 | train 99.5% | test 82.5%
