/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 6,350,602 | K=8
----------------------------------------------------------------------
Ep   1 | loss 1.7406 | task 1.7406 | train 35.1% | test 43.8%
Ep   2 | loss 1.4527 | task 1.4527 | train 47.1% | test 52.1%
Ep   3 | loss 1.3148 | task 1.3148 | train 52.1% | test 55.2%
Ep   4 | loss 1.2315 | task 1.2315 | train 55.2% | test 58.2%
Ep   5 | loss 1.1479 | task 1.1479 | train 58.5% | test 59.8%
Ep   6 | loss 1.1011 | task 1.1011 | train 60.5% | test 62.7%
Ep   7 | loss 1.0408 | task 1.0408 | train 63.0% | test 64.3%
Ep   8 | loss 0.9961 | task 0.9961 | train 64.3% | test 65.6%
Ep   9 | loss 0.9540 | task 0.9540 | train 65.8% | test 67.4%
Ep  10 | loss 0.9191 | task 0.9191 | train 67.3% | test 68.2%
Ep  11 | loss 0.8795 | task 0.8795 | train 68.6% | test 70.3%
Ep  12 | loss 0.8523 | task 0.8523 | train 69.8% | test 71.5%
Ep  13 | loss 0.8237 | task 0.8237 | train 70.7% | test 70.0%
Ep  14 | loss 0.7960 | task 0.7960 | train 71.9% | test 72.8%
Ep  15 | loss 0.7761 | task 0.7761 | train 72.5% | test 73.3%
Ep  16 | loss 0.7487 | task 0.7487 | train 73.6% | test 74.1%
Ep  17 | loss 0.7303 | task 0.7303 | train 74.2% | test 74.2%
Ep  18 | loss 0.7032 | task 0.7032 | train 75.1% | test 75.6%
Ep  19 | loss 0.6805 | task 0.6805 | train 75.9% | test 76.1%
Ep  20 | loss 0.6604 | task 0.6604 | train 76.8% | test 76.6%
Ep  21 | loss 0.6468 | task 0.6468 | train 77.1% | test 76.9%
Ep  22 | loss 0.6258 | task 0.6258 | train 77.9% | test 76.5%
Ep  23 | loss 0.6169 | task 0.6169 | train 78.0% | test 76.9%
Ep  24 | loss 0.5952 | task 0.5952 | train 79.0% | test 78.5%
Ep  25 | loss 0.5735 | task 0.5735 | train 79.7% | test 78.6%
Ep  26 | loss 0.5637 | task 0.5637 | train 79.9% | test 78.9%
Ep  27 | loss 0.5471 | task 0.5471 | train 80.6% | test 78.4%
Ep  28 | loss 0.5297 | task 0.5297 | train 81.3% | test 78.9%
Ep  29 | loss 0.5173 | task 0.5173 | train 81.7% | test 80.2%
Ep  30 | loss 0.5039 | task 0.5039 | train 82.1% | test 80.7%
Ep  31 | loss 0.4819 | task 0.4819 | train 82.8% | test 79.1%
Ep  32 | loss 0.4721 | task 0.4721 | train 83.3% | test 80.6%
Ep  33 | loss 0.4569 | task 0.4569 | train 83.7% | test 80.4%
Ep  34 | loss 0.4412 | task 0.4412 | train 84.2% | test 80.0%
Ep  35 | loss 0.4324 | task 0.4324 | train 84.5% | test 80.9%
Ep  36 | loss 0.4168 | task 0.4168 | train 85.2% | test 80.9%
Ep  37 | loss 0.4051 | task 0.4051 | train 85.6% | test 81.8%
Ep  38 | loss 0.3894 | task 0.3894 | train 86.2% | test 81.2%
Ep  39 | loss 0.3744 | task 0.3744 | train 86.6% | test 81.8%
Ep  40 | loss 0.3666 | task 0.3666 | train 86.9% | test 81.5%
Ep  41 | loss 0.3486 | task 0.3486 | train 87.5% | test 81.9%
Ep  42 | loss 0.3398 | task 0.3398 | train 87.7% | test 81.4%
Ep  43 | loss 0.3275 | task 0.3275 | train 88.3% | test 81.6%
Ep  44 | loss 0.3133 | task 0.3133 | train 88.7% | test 81.3%
Ep  45 | loss 0.2979 | task 0.2979 | train 89.3% | test 82.0%
Ep  46 | loss 0.2930 | task 0.2930 | train 89.6% | test 81.7%
Ep  47 | loss 0.2805 | task 0.2805 | train 90.0% | test 81.3%
Ep  48 | loss 0.2667 | task 0.2667 | train 90.4% | test 81.8%
Ep  49 | loss 0.2592 | task 0.2592 | train 90.6% | test 82.1%
Ep  50 | loss 0.2487 | task 0.2487 | train 91.0% | test 81.7%
Ep  51 | loss 0.2397 | task 0.2397 | train 91.4% | test 82.0%
Ep  52 | loss 0.2264 | task 0.2264 | train 91.9% | test 82.8%
Ep  53 | loss 0.2134 | task 0.2134 | train 92.4% | test 82.1%
Ep  54 | loss 0.2091 | task 0.2091 | train 92.4% | test 82.4%
Ep  55 | loss 0.1963 | task 0.1963 | train 92.8% | test 82.1%
Ep  56 | loss 0.1895 | task 0.1895 | train 93.3% | test 81.8%
Ep  57 | loss 0.1815 | task 0.1815 | train 93.5% | test 82.0%
Ep  58 | loss 0.1747 | task 0.1747 | train 93.7% | test 81.8%
Ep  59 | loss 0.1637 | task 0.1637 | train 94.2% | test 82.3%
Ep  60 | loss 0.1585 | task 0.1585 | train 94.3% | test 82.4%
Ep  61 | loss 0.1482 | task 0.1482 | train 94.7% | test 82.3%
Ep  62 | loss 0.1443 | task 0.1443 | train 94.7% | test 82.5%
Ep  63 | loss 0.1350 | task 0.1350 | train 95.1% | test 82.0%
Ep  64 | loss 0.1308 | task 0.1308 | train 95.3% | test 82.5%
Ep  65 | loss 0.1249 | task 0.1249 | train 95.6% | test 82.6%
Ep  66 | loss 0.1172 | task 0.1172 | train 95.8% | test 82.9%
Ep  67 | loss 0.1102 | task 0.1102 | train 96.1% | test 82.8%
Ep  68 | loss 0.1035 | task 0.1035 | train 96.3% | test 82.2%
Ep  69 | loss 0.0984 | task 0.0984 | train 96.5% | test 82.8%
Ep  70 | loss 0.0961 | task 0.0961 | train 96.6% | test 82.7%
Ep  71 | loss 0.0911 | task 0.0911 | train 96.7% | test 82.3%
Ep  72 | loss 0.0875 | task 0.0875 | train 96.9% | test 82.8%
Ep  73 | loss 0.0834 | task 0.0834 | train 97.1% | test 82.7%
Ep  74 | loss 0.0788 | task 0.0788 | train 97.2% | test 83.2%
Ep  75 | loss 0.0718 | task 0.0718 | train 97.4% | test 82.9%
Ep  76 | loss 0.0697 | task 0.0697 | train 97.6% | test 82.9%
Ep  77 | loss 0.0672 | task 0.0672 | train 97.6% | test 83.3%
Ep  78 | loss 0.0652 | task 0.0652 | train 97.7% | test 83.5%
Ep  79 | loss 0.0608 | task 0.0608 | train 97.8% | test 83.4%
Ep  80 | loss 0.0583 | task 0.0583 | train 98.0% | test 83.0%
Ep  81 | loss 0.0569 | task 0.0569 | train 98.0% | test 83.5%
Ep  82 | loss 0.0516 | task 0.0516 | train 98.2% | test 83.3%
Ep  83 | loss 0.0487 | task 0.0487 | train 98.3% | test 83.2%
Ep  84 | loss 0.0490 | task 0.0490 | train 98.3% | test 83.2%
Ep  85 | loss 0.0466 | task 0.0466 | train 98.3% | test 83.2%
Ep  86 | loss 0.0436 | task 0.0436 | train 98.5% | test 83.5%
Ep  87 | loss 0.0424 | task 0.0424 | train 98.5% | test 83.3%
Ep  88 | loss 0.0405 | task 0.0405 | train 98.6% | test 83.1%
Ep  89 | loss 0.0397 | task 0.0397 | train 98.6% | test 83.3%
Ep  90 | loss 0.0368 | task 0.0368 | train 98.7% | test 83.3%
Ep  91 | loss 0.0349 | task 0.0349 | train 98.7% | test 83.5%
Ep  92 | loss 0.0325 | task 0.0325 | train 98.9% | test 83.4%
Ep  93 | loss 0.0354 | task 0.0354 | train 98.7% | test 83.5%
Ep  94 | loss 0.0335 | task 0.0335 | train 98.8% | test 83.5%
Ep  95 | loss 0.0335 | task 0.0335 | train 98.8% | test 83.5%
Ep  96 | loss 0.0323 | task 0.0323 | train 98.9% | test 83.6%
Ep  97 | loss 0.0324 | task 0.0324 | train 98.9% | test 83.6%
Ep  98 | loss 0.0327 | task 0.0327 | train 98.9% | test 83.5%
Ep  99 | loss 0.0320 | task 0.0320 | train 99.0% | test 83.5%
Ep 100 | loss 0.0318 | task 0.0318 | train 98.9% | test 83.5%
Saved checkpoint to base_dim256_100ep.pt
