Loading ImageNet64 from HuggingFace...
Model: baseline | Params: 14,699,368 | K=8 | blocks/unit=-
----------------------------------------------------------------------
  step 2600/5005 | loss 4.5037 | acc 15.0% | 570s elapsed | eta 527s
  step 2700/5005 | loss 4.4969 | acc 15.1% | 592s elapsed | eta 505s
  step 2800/5005 | loss 4.4899 | acc 15.2% | 614s elapsed | eta 483s
  step 2900/5005 | loss 4.4836 | acc 15.3% | 635s elapsed | eta 461s
  step 3000/5005 | loss 4.4771 | acc 15.3% | 657s elapsed | eta 439s
  step 3100/5005 | loss 4.4710 | acc 15.4% | 679s elapsed | eta 417s
  step 3200/5005 | loss 4.4644 | acc 15.5% | 701s elapsed | eta 396s
  step 3300/5005 | loss 4.4572 | acc 15.6% | 723s elapsed | eta 374s
  step 3400/5005 | loss 4.4511 | acc 15.7% | 745s elapsed | eta 352s
  step 3500/5005 | loss 4.4443 | acc 15.7% | 767s elapsed | eta 330s
  step 3600/5005 | loss 4.4366 | acc 15.8% | 789s elapsed | eta 308s
  step 3700/5005 | loss 4.4295 | acc 15.9% | 811s elapsed | eta 286s
  step 3800/5005 | loss 4.4233 | acc 16.0% | 833s elapsed | eta 264s
  step 3900/5005 | loss 4.4159 | acc 16.1% | 855s elapsed | eta 242s
  step 4000/5005 | loss 4.4092 | acc 16.2% | 876s elapsed | eta 220s
  step 4100/5005 | loss 4.4026 | acc 16.3% | 898s elapsed | eta 198s
  step 4200/5005 | loss 4.3960 | acc 16.3% | 920s elapsed | eta 176s
  step 4300/5005 | loss 4.3893 | acc 16.4% | 942s elapsed | eta 154s
  step 4400/5005 | loss 4.3826 | acc 16.5% | 964s elapsed | eta 133s
  step 4500/5005 | loss 4.3761 | acc 16.6% | 986s elapsed | eta 111s
  step 4600/5005 | loss 4.3694 | acc 16.7% | 1008s elapsed | eta 89s
  step 4700/5005 | loss 4.3632 | acc 16.7% | 1030s elapsed | eta 67s
  step 4800/5005 | loss 4.3565 | acc 16.8% | 1052s elapsed | eta 45s
  step 4900/5005 | loss 4.3500 | acc 16.9% | 1074s elapsed | eta 23s
  step 5000/5005 | loss 4.3435 | acc 17.0% | 1096s elapsed | eta 1s
Ep   2 | loss 4.3432 | task 4.3432 | train 17.0% | test 20.8% | 1108s
  step 100/5005 | loss 3.9135 | acc 22.2% | 22s elapsed | eta 1086s
  step 200/5005 | loss 3.9199 | acc 22.2% | 44s elapsed | eta 1058s
  step 300/5005 | loss 3.9166 | acc 22.3% | 66s elapsed | eta 1035s
  step 400/5005 | loss 3.9175 | acc 22.3% | 88s elapsed | eta 1012s
  step 500/5005 | loss 3.9154 | acc 22.3% | 110s elapsed | eta 989s
  step 600/5005 | loss 3.9124 | acc 22.3% | 132s elapsed | eta 967s
  step 700/5005 | loss 3.9095 | acc 22.3% | 154s elapsed | eta 945s
  step 800/5005 | loss 3.9091 | acc 22.3% | 176s elapsed | eta 923s
  step 900/5005 | loss 3.9061 | acc 22.4% | 197s elapsed | eta 900s
  step 1000/5005 | loss 3.9017 | acc 22.4% | 219s elapsed | eta 878s
  step 1100/5005 | loss 3.9003 | acc 22.5% | 241s elapsed | eta 856s
  step 1200/5005 | loss 3.8950 | acc 22.6% | 263s elapsed | eta 834s
  step 1300/5005 | loss 3.8915 | acc 22.6% | 285s elapsed | eta 812s
  step 1400/5005 | loss 3.8875 | acc 22.7% | 307s elapsed | eta 790s
  step 1500/5005 | loss 3.8826 | acc 22.8% | 329s elapsed | eta 768s
  step 1600/5005 | loss 3.8798 | acc 22.8% | 351s elapsed | eta 746s
  step 1700/5005 | loss 3.8752 | acc 22.9% | 373s elapsed | eta 725s
  step 1800/5005 | loss 3.8700 | acc 22.9% | 395s elapsed | eta 703s
  step 1900/5005 | loss 3.8659 | acc 23.0% | 416s elapsed | eta 681s
  step 2000/5005 | loss 3.8631 | acc 23.1% | 438s elapsed | eta 659s
  step 2100/5005 | loss 3.8588 | acc 23.1% | 460s elapsed | eta 637s
  step 2200/5005 | loss 3.8543 | acc 23.2% | 482s elapsed | eta 615s
  step 2300/5005 | loss 3.8508 | acc 23.3% | 504s elapsed | eta 593s
  step 2400/5005 | loss 3.8465 | acc 23.3% | 526s elapsed | eta 571s
  step 2500/5005 | loss 3.8426 | acc 23.4% | 548s elapsed | eta 549s
  step 2600/5005 | loss 3.8386 | acc 23.4% | 570s elapsed | eta 527s
  step 2700/5005 | loss 3.8345 | acc 23.5% | 592s elapsed | eta 505s
  step 2800/5005 | loss 3.8306 | acc 23.5% | 614s elapsed | eta 483s
  step 2900/5005 | loss 3.8269 | acc 23.6% | 636s elapsed | eta 461s
  step 3000/5005 | loss 3.8233 | acc 23.6% | 657s elapsed | eta 439s
  step 3100/5005 | loss 3.8196 | acc 23.7% | 679s elapsed | eta 417s
  step 3200/5005 | loss 3.8167 | acc 23.7% | 701s elapsed | eta 396s
