Loading ImageNet64 from HuggingFace...
Model: continuous | Params: 8,012,136 | K=4 | blocks/unit=4
----------------------------------------------------------------------
  step 2500/5005 | loss 4.1995 | acc 18.7% | 686s elapsed | eta 688s
  step 2600/5005 | loss 4.1921 | acc 18.8% | 709s elapsed | eta 656s
  step 2700/5005 | loss 4.1844 | acc 18.9% | 731s elapsed | eta 624s
  step 2800/5005 | loss 4.1770 | acc 19.0% | 754s elapsed | eta 594s
  step 2900/5005 | loss 4.1694 | acc 19.1% | 778s elapsed | eta 564s
  step 3000/5005 | loss 4.1618 | acc 19.2% | 800s elapsed | eta 535s
  step 3100/5005 | loss 4.1552 | acc 19.2% | 822s elapsed | eta 505s
  step 3200/5005 | loss 4.1482 | acc 19.3% | 845s elapsed | eta 477s
  step 3300/5005 | loss 4.1410 | acc 19.4% | 868s elapsed | eta 448s
  step 3400/5005 | loss 4.1330 | acc 19.5% | 891s elapsed | eta 421s
  step 3500/5005 | loss 4.1262 | acc 19.6% | 914s elapsed | eta 393s
  step 3600/5005 | loss 4.1185 | acc 19.7% | 936s elapsed | eta 365s
  step 3700/5005 | loss 4.1117 | acc 19.8% | 960s elapsed | eta 338s
  step 3800/5005 | loss 4.1054 | acc 19.9% | 983s elapsed | eta 312s
  step 3900/5005 | loss 4.0990 | acc 20.0% | 1006s elapsed | eta 285s
  step 4000/5005 | loss 4.0926 | acc 20.1% | 1030s elapsed | eta 259s
  step 4100/5005 | loss 4.0866 | acc 20.2% | 1053s elapsed | eta 232s
  step 4200/5005 | loss 4.0804 | acc 20.2% | 1075s elapsed | eta 206s
  step 4300/5005 | loss 4.0737 | acc 20.3% | 1099s elapsed | eta 180s
  step 4400/5005 | loss 4.0673 | acc 20.4% | 1122s elapsed | eta 154s
  step 4500/5005 | loss 4.0610 | acc 20.5% | 1144s elapsed | eta 128s
  step 4600/5005 | loss 4.0550 | acc 20.6% | 1166s elapsed | eta 103s
  step 4700/5005 | loss 4.0494 | acc 20.7% | 1189s elapsed | eta 77s
  step 4800/5005 | loss 4.0433 | acc 20.7% | 1210s elapsed | eta 52s
  step 4900/5005 | loss 4.0372 | acc 20.8% | 1234s elapsed | eta 26s
  step 5000/5005 | loss 4.0314 | acc 20.9% | 1257s elapsed | eta 1s
Ep   2 | loss 4.0311 | task 4.0311 | cons 0.0000 | train 20.9% | test 24.6% | 1283s
  step 100/5005 | loss 3.6082 | acc 26.5% | 24s elapsed | eta 1190s
  step 200/5005 | loss 3.6234 | acc 26.4% | 46s elapsed | eta 1105s
  step 300/5005 | loss 3.6216 | acc 26.4% | 70s elapsed | eta 1093s
  step 400/5005 | loss 3.6246 | acc 26.4% | 93s elapsed | eta 1075s
  step 500/5005 | loss 3.6198 | acc 26.5% | 117s elapsed | eta 1053s
  step 600/5005 | loss 3.6164 | acc 26.6% | 141s elapsed | eta 1037s
  step 700/5005 | loss 3.6126 | acc 26.6% | 164s elapsed | eta 1011s
  step 800/5005 | loss 3.6107 | acc 26.7% | 187s elapsed | eta 982s
  step 900/5005 | loss 3.6065 | acc 26.7% | 210s elapsed | eta 957s
  step 1000/5005 | loss 3.6029 | acc 26.8% | 233s elapsed | eta 934s
  step 1100/5005 | loss 3.5968 | acc 26.9% | 258s elapsed | eta 917s
  step 1200/5005 | loss 3.5942 | acc 26.9% | 281s elapsed | eta 890s
  step 1300/5005 | loss 3.5932 | acc 27.0% | 302s elapsed | eta 861s
  step 1400/5005 | loss 3.5924 | acc 27.0% | 324s elapsed | eta 834s
  step 1500/5005 | loss 3.5874 | acc 27.0% | 347s elapsed | eta 810s
  step 1600/5005 | loss 3.5850 | acc 27.0% | 370s elapsed | eta 788s
  step 1700/5005 | loss 3.5828 | acc 27.1% | 393s elapsed | eta 765s
  step 1800/5005 | loss 3.5790 | acc 27.1% | 417s elapsed | eta 743s
  step 1900/5005 | loss 3.5768 | acc 27.1% | 439s elapsed | eta 718s
  step 2000/5005 | loss 3.5720 | acc 27.2% | 462s elapsed | eta 695s
  step 2100/5005 | loss 3.5688 | acc 27.3% | 488s elapsed | eta 674s
  step 2200/5005 | loss 3.5670 | acc 27.3% | 511s elapsed | eta 651s
  step 2300/5005 | loss 3.5636 | acc 27.4% | 533s elapsed | eta 627s
  step 2400/5005 | loss 3.5607 | acc 27.4% | 558s elapsed | eta 605s
  step 2500/5005 | loss 3.5602 | acc 27.4% | 579s elapsed | eta 581s
  step 2600/5005 | loss 3.5565 | acc 27.5% | 603s elapsed | eta 558s
  step 2700/5005 | loss 3.5542 | acc 27.5% | 629s elapsed | eta 537s
  step 2800/5005 | loss 3.5509 | acc 27.6% | 653s elapsed | eta 514s
  step 2900/5005 | loss 3.5488 | acc 27.6% | 677s elapsed | eta 491s
  step 3000/5005 | loss 3.5470 | acc 27.6% | 700s elapsed | eta 468s
  step 3100/5005 | loss 3.5448 | acc 27.7% | 723s elapsed | eta 444s
  step 3200/5005 | loss 3.5423 | acc 27.7% | 744s elapsed | eta 420s
  step 3300/5005 | loss 3.5397 | acc 27.7% | 767s elapsed | eta 396s
