Loading ImageNet64 from HuggingFace...
Model: continuous | Params: 8,012,136 | K=4 | blocks/unit=4
----------------------------------------------------------------------
  step 100/5005 | loss 6.8638 | acc 0.4% | 24s elapsed | eta 1199s
  step 200/5005 | loss 6.7605 | acc 0.5% | 49s elapsed | eta 1172s
  step 300/5005 | loss 6.6887 | acc 0.6% | 71s elapsed | eta 1117s
  step 400/5005 | loss 6.6322 | acc 0.7% | 94s elapsed | eta 1087s
  step 500/5005 | loss 6.5754 | acc 0.8% | 115s elapsed | eta 1039s
  step 600/5005 | loss 6.5234 | acc 1.0% | 138s elapsed | eta 1016s
  step 700/5005 | loss 6.4736 | acc 1.1% | 161s elapsed | eta 987s
  step 800/5005 | loss 6.4278 | acc 1.2% | 184s elapsed | eta 966s
  step 900/5005 | loss 6.3804 | acc 1.4% | 207s elapsed | eta 942s
  step 1000/5005 | loss 6.3362 | acc 1.6% | 229s elapsed | eta 917s
  step 1100/5005 | loss 6.2891 | acc 1.8% | 251s elapsed | eta 891s
  step 1200/5005 | loss 6.2440 | acc 2.0% | 273s elapsed | eta 864s
  step 1300/5005 | loss 6.2005 | acc 2.1% | 295s elapsed | eta 841s
  step 1400/5005 | loss 6.1592 | acc 2.4% | 317s elapsed | eta 815s
  step 1500/5005 | loss 6.1177 | acc 2.6% | 339s elapsed | eta 792s
  step 1600/5005 | loss 6.0793 | acc 2.8% | 361s elapsed | eta 769s
  step 1700/5005 | loss 6.0415 | acc 3.0% | 385s elapsed | eta 748s
  step 1800/5005 | loss 6.0055 | acc 3.2% | 408s elapsed | eta 726s
  step 1900/5005 | loss 5.9705 | acc 3.4% | 430s elapsed | eta 703s
  step 2000/5005 | loss 5.9374 | acc 3.6% | 453s elapsed | eta 681s
  step 2100/5005 | loss 5.9061 | acc 3.7% | 476s elapsed | eta 658s
  step 2200/5005 | loss 5.8752 | acc 3.9% | 499s elapsed | eta 637s
  step 2300/5005 | loss 5.8454 | acc 4.1% | 521s elapsed | eta 613s
  step 2400/5005 | loss 5.8168 | acc 4.3% | 543s elapsed | eta 590s
  step 2500/5005 | loss 5.7887 | acc 4.5% | 568s elapsed | eta 569s
  step 2600/5005 | loss 5.7610 | acc 4.7% | 590s elapsed | eta 546s
  step 2700/5005 | loss 5.7340 | acc 4.8% | 614s elapsed | eta 524s
  step 2800/5005 | loss 5.7079 | acc 5.0% | 638s elapsed | eta 502s
  step 2900/5005 | loss 5.6821 | acc 5.2% | 661s elapsed | eta 480s
  step 3000/5005 | loss 5.6570 | acc 5.4% | 686s elapsed | eta 458s
  step 3100/5005 | loss 5.6325 | acc 5.6% | 708s elapsed | eta 435s
  step 3200/5005 | loss 5.6085 | acc 5.7% | 731s elapsed | eta 412s
  step 3300/5005 | loss 5.5860 | acc 5.9% | 754s elapsed | eta 389s
  step 3400/5005 | loss 5.5625 | acc 6.1% | 777s elapsed | eta 367s
  step 3500/5005 | loss 5.5407 | acc 6.2% | 801s elapsed | eta 344s
